model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Iconia Talk S,Acer,Black,170,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,720 x 1280 pixels (~210 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A53,2 GB RAM
Liquid Z6 Plus,Acer,Black| White,250,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core 1.3 GHz Cortex-A53,3 GB RAM
Liquid Z6,Acer,Black| White,120,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.25 GHz Cortex-A53,1 GB RAM
Iconia Tab 10 A3-A40,Acer,Black,230,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg,1920 x 1200 pixels (~224 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A53,2 GB RAM
Liquid X2,Acer,Black| Gold,230,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core 1.3 GHz Cortex-A53,3 GB RAM
Liquid Jade 2,Acer,Black,,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg,1080 x 1920 pixels (~401 ppi pixel density),Super AMOLED capacitive touchscreen  16M colors,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),3 GB RAM
Liquid Zest Plus,Acer,Blue| White,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg,720 x 1280 pixels (~267 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A53,2 GB RAM
Liquid Zest,Acer,Black| White,110,http://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.3 GHz - Z525,1 GB RAM
Predator 8,Acer,Black/Silver,350,http://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg,1920 x 1200 pixels (~283 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.6 GHz,2 GB RAM
Liquid Jade Primo,Acer,Black,220,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,1080 x 1920 pixels (~401 ppi pixel density),AMOLED capacitive touchscreen  16M colors,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),3 GB RAM
